Property Id,Address,Customer Id,Customer Name,Total Cost,yearBuilt,Sale Date,Seller,Image
38,"5017 IRVING ST , Philadelphia, PA 19139",13,LACHALL  COHEN & SAGNOR,"50,358.34",1925,August 2  2016,MONUMENT BANK,https://is1-2.housingcdn.com/4f2250e8/4e0cc3084ff07b77f16dcc32b955e625/v8/_logo/mascot_patel_neotown_noida_extension-noida-patel_group.jpg
39,"514 E ASHMEAD ST , Philadelphia, PA 19144",14,LYVEYA BIBBS,"25,154.36",1931,August 2  2016,FEDERAL NATIONAL MORTGAGE ASSOCIATION,https://im.proptiger.com/1/501448/6/godrej-properties-garden-city-elevation-698376.jpeg
40,"1314 FILLMORE ST , Philadelphia, PA 19124",15,MANLEY DEAS KOCHALSKI LLC,"40,866.37",1935,September 13  2016,WELLS FARGO BANK  N.A.,https://cdn.vox-cdn.com/uploads/chorus_asset/file/6652423/mast-des-bg-800.jpg
41,"1654 MOHICAN ST , Philadelphia, PA 19138",15,MANLEY DEAS KOCHALSKI LLC,"43,194.64",1925,August 2  2016,HSBC BANK USA  NATIONAL ASSOCIATION  AS TRUSTEE FOR WELLS FARGO HOME EQUITY ASSET-BACKED SECURITIES 2006-2 TRUST  HOME EQUITY ASSET-BACKED CERTIFICATES  SERIES 2006-2,http://www.edisonproperties.ca/uploads/property/property_img_19.jpg?t=1371681727
42,"4351 N 5TH ST , Philadelphia, PA 19140",15,MANLEY DEAS KOCHALSKI LLC,"44,326.61",1950,September 13  2016,WELLS FARGO BANK  N.A.,https://t-ec.bstatic.com/images/hotel/max1024x768/583/58350642.jpg
43,"4404 HURLEY ST , Philadelphia, PA 19120",15,MANLEY DEAS KOCHALSKI LLC,"29,347.39",1940,August 2  2016,MTGLQ INVESTORS  L.P.,https://www.rentcafe.com/blog/wp-content/uploads/2016/06/SkyHouse-Houston-Apartments-via-Rentcafe.jpg
44,"1940 W CAREY ST , Philadelphia, PA 19140",15,MANLEY DEAS KOCHALSKI LLC,"30,024.95",1910,August 2  2016,WELLS FARGO BANK  N.A.,https://is1-2.housingcdn.com/4f2250e8/725b2b5dcfc9e5b2ac308fdb1ce97e16/v5/_m/vivishu_shyam_apartment_rishi_nagar_meerut-meerut-vivishu_buildcon.jpg
45,"6616 CORNELIUS ST , Philadelphia, PA 19138",15,MANLEY DEAS KOCHALSKI LLC,"45,377.07",1936,October 4  2016,BANK OF AMERICA  N.A.,https://www.propertyfinder.ae/property/112bac86108e31d16d23b55d3c8dc14c/500/356/MODE/7d211f/5603867-6f2c1o.jpg
46,"148 ROSEMAR ST , Philadelphia, PA 19120",15,MANLEY DEAS KOCHALSKI LLC,"32,083.84",1925,August 2  2016,HSBC BANK USA  NATIONAL ASSOCIATION AS INDENTURE TRUSTEE FOR FBR SECURITIZATION TRUST 2005-3  CALLABLE MORTGAGE-BACKED NOTES  2005-3,https://coolfmpropertyspain.files.wordpress.com/2015/01/cool-fm-property-spain-41.jpg
47,"6634 CORNELIUS ST , Philadelphia, PA 19138",15,MANLEY DEAS KOCHALSKI LLC,"45,127.56",1925,October 4  2016,WELLS FARGO BANK  N.A.,https://3.imimg.com/data3/QY/RS/MY-3847296/industrial-property-development-services-250x250.jpg
48,"842 E CORNWALL ST , Philadelphia, PA 19134",15,MANLEY DEAS KOCHALSKI LLC,"32,154.88",1920,August 2  2016,HSBC BANK USA  NATIONAL ASSOCIATION AS TRUSTEE FOR NOMURA ASSET,http://media.rightmove.co.uk/92k/91954/42351735/91954_wenlockrdi_IMG_03_0000.jpg
49,"2722 N 45TH ST , Philadelphia, PA 19131",16,MCCABE  WEISBERG & CONWAY  P.C.,"46,934.78",1925,September 13  2016,FEDERAL NATIONAL MORTGAGE ASSOCIATION,http://www.track2realty.track2media.com/wp-content/uploads/2013/10/Club-Terrace-SARE-Homes.jpg
50,"6735 N SMEDLEY ST , Philadelphia, PA 19126",16,MCCABE  WEISBERG & CONWAY  P.C.,"41,158.86",1925,October 4  2016,LSF9 MASTER PARTICIPATION TRUST,http://expat.place/wp-content/uploads/2017/02/3-1740x960-c-center.jpg
51,"603 N 52ND ST , Philadelphia, PA 19131",16,MCCABE  WEISBERG & CONWAY  P.C.,"75,497.20",1925,August 2  2016,FINANCE OF AMERICA REVERSE  LLC,http://aboutislam.net/wp-content/uploads/2016/09/A-Father-Giving-His-Son%E2%80%99s-Properties-to-Another.jpg
52,"729 S 60TH ST , Philadelphia, PA 19143",16,MCCABE  WEISBERG & CONWAY  P.C.,"49,103.10",1936,September 13  2016,HOMEBRIDGE FINANCIAL SERVICES  INC.,https://www.parkrealty.com/sites/default/files/town-square-01_1.jpg
53,"7034 WHEELER ST , Philadelphia, PA 19142",17,MILSTEAD & ASSOCIATES LLC,"32,229.83",1925,October 4  2016,THE BANK OF NEW YORK MELLON F/K/A THE BANK OF NEW YORK  SUCCESSOR TO J,http://cdn.realtycompass.com/realtycompass/property_attachments/5118891428921997.jpg
