Property Id,Address,Customer Id,Customer Name,Total Cost,yearBuilt,Sale Date,Seller,Image
1,"330 HORTON ST , Philadelphia, PA 19139",1,AN PROPERTIES  LLC,"39,300.90",1925,August 2  2016,PHH MORTGAGE CORPORATION,https://4.imimg.com/data4/BH/PO/MY-12310397/palm-green-villas-project-erattayal-500x500.jpg
2,"1544 SOUTH WILTON STREET , Philadelphia, PA 19143",2,BIELLI & KLAUDER LLC,"30,412.98",1925,August 2  2016,BRIDGE-GATE ASSETS MANAGEMENT  LLC,http://www.ishangd.com/wp-content/uploads/2016/02/properties.jpg
3,"3545 TUDOR ST , Philadelphia, PA 19136",3,COBA  INC.,"51,915.53",1963,September 13  2016,COBA  INC,http://www.nallaneramproperties.com/wp-content/uploads/2016/10/property-connect-home.jpg
4,"5649 HEISKELL ST , Philadelphia, PA 19144",3,COBA  INC.,"28,346.90",1927,September 13  2016,TD BANK  NA.  SUCCESSOR BY MERGER TO COMMERCE BANK  NA,http://www.sobha.com/images/sobha-azalea-banner1.jpg
5,"5618 UTAH ST , Philadelphia, PA 19144",4,COBA  INC.,"25,890.04",1932,August 2  2016,TD BANK  N.A.  SUCCESSOR BY MERGER TO COMMERCE BANK  N.A.,http://www.hindustantimes.com/rf/image_size_640x362/HT/p2/2016/11/15/Pictures/dream-house-front_8843d09c-ab15-11e6-b961-04ee4fa7b706.jpg
6,"9804 WOODFERN RD , Philadelphia, PA 19115",4,DUANE MORRIS LLP,"59,466.35",1955,September 13  2016,COBA  INC.,https://in.all.biz/img/in/service_catalog/15784.jpeg
7,"1552 E LYCOMING ST , Philadelphia, PA 19124",4,DUANE MORRIS LLP,"38,258.77",1944,September 13  2016,COBA  INC.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSisI502bmd8QBqTAPkzbyab3cdcjFebV06dsTXNo-L3RDjlGmX
8,"4741 OAKLAND ST , Philadelphia, PA 19124",5,FANNIE MAE,"67,615.83",1945,October 4  2016,MTGLQ INVESTORS  LP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgfxb4wALqtGQvsZvGpXQpaaVGkVjK-Px3UCY6QwBSEfcM1inX
9,"2255 WINTON ST , Philadelphia, PA 19145",5,FANNIE MAE,"27,322.87",1918,August 2  2016,PNC BANK  NATIONAL ASSOCIATION ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTIKZAWu5miJdWwgncmjFjQaQuKkQcKyVfOqhilLbBJdmMiCyGv
10,"4613 EDMUND ST , Philadelphia, PA 19124",5,FANNIE MAE,"29,746.88",1935,August 2  2016,BENEFICIAL BANK,http://media.chicagomag.com//images/2009/January%202009/deal_snow.jpg
11,"6714 LINMORE AVE , Philadelphia, PA 19142",6,FEDERAL HOME LOAN MORTGAGE CORPORATION,"35,530.90",1965,August 2  2016,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,http://www.eplans.com/house-plans/media/catalog/product/cache/2/image/820x615/9df78eab33525d08d6e5fb8d27136e95/f/b/fba864-fr-re-co-ep.jpg
12,"4660 EDMUND ST , Philadelphia, PA 19124",6,FEDERAL HOME LOAN MORTGAGE CORPORATION,"29,535.21",1925,September 13  2016,NEW PENN FINANCIAL LLC DBA SHELL POINT MORTGAGE SERVICING,http://www.bestsquarefeet.com/wp-content/uploads/2016/04/Property-Registration-Lawyers.jpg
13,"819 E CORNWALL ST , Philadelphia, PA 19134",6,FEDERAL HOME LOAN MORTGAGE CORPORATION,"34,086.12",1920,August 2  2016,M&T BANK,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSSHgJ6Hxn5qMeOEmDK_CKgD6xv4EBRPHO_qaTRhOlbVcydv5NP
14,"211 SHEDAKER ST , Philadelphia, PA 19144",7,FEDERAL NATIONAL MORTGAGE ASSOCIATION,"28,869.87",1920,August 2  2016,FEDERAL NATIONAL MORTGAGE ASSOCIATION,https://is1-2.housingcdn.com/4f2250e8/019ae1995b426d1bb893c14c4adfb094/v2/fs/raghuram_a2a_life_spaces-balanagar-hyderabad-raghuram_infrastructures_.jpg
15,"4250 ORCHARD ST , Philadelphia, PA 19124",7,FEDERAL NATIONAL MORTGAGE ASSOCIATION,"29,045.86",1925,August 2  2016,NATIONSTAR HECM ACQUISITION TRUST 2015-2  WILMINGTON SAVINGS FUND SOCIETY  FSB  NOT INDIVIDUALLY BUT SOLELY AS TRUSTEE,http://www.tornosnews.gr/en/files/3d_exterior_house_design_Kerala_227061571_548403647.jpg
16,"3906 GLENDALE ST , Philadelphia, PA 19124",7,FEDERAL NATIONAL MORTGAGE ASSOCIATION,"36,950.33",1925,August 2  2016,WELLS FARGO BANK  N.A SUCCESSOR BY MERGER TO WELLS FARGO HOME MORTGAGE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSj4CXPkSCQTZ4PIorW2MLVKB67TgS8IZrtEXWNCYX9VxF3fpbm
17,"1302 W WISHART ST , Philadelphia, PA 19132",7,FEDERAL NATIONAL MORTGAGE ASSOCIATION,"24,235.72",1935,August 2  2016,NATIONSTAR MORTGAGE LLC,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSufOOIxOJBLBXHP4QOmxXWKrFbuEdbZiEGzxKpmGoKyt-okQPI
18,"3828 GERMANTOWN AVE , Philadelphia, PA 19140",7,FEDERAL NATIONAL MORTGAGE ASSOCIATION,"49,777.92",1940,August 2  2016,CIT BANK  N.A. F/K/A ONEWEST BANK  N.A.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTdKH_Z24tvUB2xVLn282W98IYoMXlazR7tF9k50g4IgLEQIuQA
